id_pedido,data_pedido,status_pedido,valor_total,cpf_cnpj
163,2025-05-24,Cancelado,67.99,7835964139
164,2026-02-14,Processando,232.4,6938275483
165,2025-06-20,Entregue,203.48,31697854001
166,2025-03-20,Processando,656.22,59284063710
167,2025-10-08,Cancelado,181.25,45096137848
168,2025-05-04,Entregue,633.5,95431028642
169,2025-08-11,Cancelado,323.0,84239170613
170,2026-01-19,Cancelado,144.81,36428709104
171,2025-06-27,Em transporte,657.74,38217460507
172,2025-08-02,Processando,526.28,58704693256
173,2025-07-03,Entregue,396.61,7398461240
174,2025-08-05,Processando,241.77,84539702629
175,2025-04-14,Em transporte,178.96,87495062347
176,2025-07-16,Em transporte,147.76,20679841520
177,2025-10-26,Processando,718.01,40678321922
178,2025-10-31,Em transporte,554.13,61529473837
179,2025-10-29,Cancelado,46.61,51962087476
180,2025-10-03,Em transporte,389.05,43089751232
181,2025-11-10,Cancelado,292.65,62543980105
182,2026-01-26,Processando,769.39,16079245361
183,2025-12-23,Cancelado,26.27,29013758479
184,2025-12-23,Cancelado,386.7,42359708104
185,2025-05-14,Entregue,416.2,36908412750
186,2025-07-27,Cancelado,599.05,73856421955
187,2025-07-03,Entregue,263.32,73046951299
188,2025-07-11,Processando,641.08,25760493892
189,2025-04-13,Em transporte,174.49,65842093189
190,2025-08-06,Em transporte,699.34,20479615306
191,2025-06-10,Entregue,463.26,85620374947
192,2026-02-17,Em transporte,35.11,45912607399
193,2025-03-01,Entregue,142.74,86194537264
194,2025-05-03,Em transporte,491.89,10632745916
195,2025-10-12,Entregue,554.03,69543278164
196,2025-03-28,Cancelado,202.71,30162847580
197,2025-04-01,Cancelado,241.18,76130829540
198,2025-04-01,Entregue,154.31,64932078196
199,2025-05-02,Entregue,586.48,1635279461
200,2025-07-11,Processando,470.94,67154308966
201,2025-07-28,Cancelado,611.04,87913452005
202,2025-07-08,Entregue,209.31,6534187957
203,2026-01-13,Processando,194.79,94726083538
204,2025-02-27,Entregue,758.47,31427906599
205,2026-02-17,Entregue,864.62,4187593241
206,2025-05-28,Em transporte,91.51,86035471900
207,2026-02-19,Entregue,119.83,45271938050
208,2025-05-12,Processando,724.57,35617980203
209,2025-09-07,Cancelado,22.34,91680375466
210,2025-07-31,Em transporte,561.42,62584709392
211,2025-07-31,Cancelado,212.97,31270856995
212,2025-06-27,Cancelado,787.4,4172698549
213,2025-12-07,Cancelado,542.58,19730542805
214,2025-09-09,Em transporte,217.27,30179546252
215,2025-04-28,Cancelado,214.72,64287390547
216,2025-09-30,Em transporte,149.36,7653421890
217,2025-05-29,Processando,90.54,92348017687
218,2025-10-05,Processando,321.55,34120785653
219,2025-11-23,Entregue,320.27,58960127302
220,2025-08-28,Em transporte,110.56,36820951442
221,2026-01-19,Em transporte,183.02,13590678259
222,2025-09-03,Cancelado,533.81,62419503805
223,2025-08-13,Cancelado,148.23,5724381923
224,2025-11-23,Entregue,461.41,96847053100
225,2025-05-19,Cancelado,316.51,94381570693
226,2025-04-30,Entregue,389.62,32061954898
227,2025-11-28,Processando,37.77,82476915076
228,2025-07-22,Entregue,661.1,89623471564
229,2025-03-15,Processando,45.71,13590678259
230,2025-12-18,Cancelado,161.57,82476915076
231,2025-08-15,Entregue,658.14,18230647950
232,2025-06-12,Cancelado,158.46,26014539743
233,2025-11-12,Cancelado,157.96,67824091511
234,2025-07-10,Cancelado,223.9,42783109603
235,2025-06-06,Entregue,679.88,63027198440
236,2025-10-02,Em transporte,247.33,93607142599
237,2026-01-29,Em transporte,411.86,8625943756
238,2026-02-07,Entregue,223.7,31670528995
239,2026-01-23,Em transporte,436.1,56092371499
240,2025-11-13,Processando,315.6,31670528995
241,2026-01-16,Cancelado,194.5,76130829540
242,2026-01-19,Em transporte,6.18,76280149501
243,2025-07-23,Processando,267.57,60239158768
244,2026-02-14,Processando,337.64,13907524888
245,2025-09-08,Entregue,569.41,49068173510
246,2025-08-25,Processando,292.18,65974812328
247,2025-09-23,Entregue,264.73,65378490200
248,2025-10-09,Entregue,11.26,63081794269
249,2026-01-05,Processando,150.39,85310967400
250,2025-10-14,Em transporte,438.47,34216085717
251,2025-06-16,Processando,374.17,82396754173
252,2025-10-08,Cancelado,550.01,14092673507
253,2025-07-07,Processando,442.75,94687053157
254,2025-06-14,Em transporte,73.02,18937650401
255,2025-06-13,Cancelado,283.73,12307859659
256,2025-07-30,Entregue,24.89,37528104671
257,2025-08-26,Em transporte,187.47,7216489594
258,2025-12-29,Entregue,605.35,58960127302
259,2025-05-04,Processando,57.33,47635018957
260,2025-10-11,Processando,598.39,91680375466
261,2025-08-06,Em transporte,337.51,72540381626
262,2025-03-27,Em transporte,365.29,30475918657
263,2025-10-03,Cancelado,161.3,27803491669
264,2025-09-02,Em transporte,651.51,42631507835
265,2025-12-25,Cancelado,362.23,96403785265
266,2025-09-27,Entregue,192.22,5187926411
267,2025-03-02,Cancelado,21.49,80356129489
268,2026-01-29,Entregue,384.6,62859347119
269,2025-06-16,Entregue,435.47,40162978502
270,2025-06-10,Cancelado,253.04,64297135809
271,2025-09-24,Em transporte,347.28,59634270883
272,2025-05-10,Cancelado,511.86,26014539743
273,2025-09-22,Entregue,344.51,7136495857
274,2025-09-14,Cancelado,224.27,34926158051
275,2025-10-28,Em transporte,168.96,60381597466
276,2025-08-15,Em transporte,172.7,52947031814
277,2025-10-29,Entregue,467.16,39851764264
278,2025-04-28,Entregue,169.65,47358061993
279,2025-11-01,Em transporte,64.71,36092857103
280,2025-08-01,Em transporte,881.84,7659342800
281,2026-01-14,Cancelado,351.15,73698410222
282,2025-11-14,Cancelado,488.92,65108249730
283,2025-04-29,Cancelado,243.48,17903684213
284,2025-10-08,Processando,469.7,58071963410
285,2025-11-28,Em transporte,247.25,94530628124
286,2025-06-17,Entregue,159.39,6938275483
287,2025-10-15,Processando,180.58,4319782550
288,2025-06-11,Processando,322.09,18927563077
289,2026-01-13,Entregue,129.1,41320678904
290,2025-05-26,Entregue,423.21,81279530677
291,2025-06-01,Processando,89.88,42359708104
292,2025-07-09,Em transporte,117.06,13826947509
293,2025-12-03,Processando,410.69,57903421670
294,2025-03-12,Em transporte,242.49,41320678904
295,2025-12-16,Em transporte,539.31,91876403250
296,2025-07-20,Processando,327.63,97815064310
297,2025-04-27,Em transporte,628.06,26594837109
298,2025-11-04,Em transporte,106.65,60471285994
299,2025-10-25,Entregue,166.47,61374902896
300,2025-12-30,Cancelado,278.71,20479615306
301,2025-07-17,Cancelado,306.97,62714809340
302,2025-04-24,Entregue,527.45,52947031814
303,2025-09-13,Entregue,349.15,16279534855
304,2025-08-28,Em transporte,198.95,30162847580
305,2025-08-28,Entregue,167.31,50716842335
306,2025-07-21,Em transporte,474.63,94381570693
307,2025-11-07,Entregue,138.65,4723519661
308,2025-12-31,Cancelado,292.78,56879342000
309,2025-10-12,Cancelado,570.79,46081392740
310,2025-04-19,Processando,303.22,67921485049
311,2025-11-23,Cancelado,227.42,52130487653
312,2025-08-06,Processando,415.11,40678321922
313,2025-03-26,Em transporte,676.24,8145369215
314,2025-08-14,Processando,485.07,45912607399
315,2026-02-08,Processando,292.93,79356841209
316,2025-09-05,Cancelado,370.76,79435621007
317,2025-05-24,Entregue,21.97,70256814902
318,2025-08-14,Entregue,232.75,64051937801
319,2026-01-06,Em transporte,289.12,2187435644
320,2025-07-31,Cancelado,672.69,12760954811
321,2025-10-21,Em transporte,243.72,49687023538
322,2026-01-20,Entregue,350.06,47635018957
323,2025-11-22,Em transporte,793.4,37859460157
324,2025-07-27,Cancelado,225.69,79063452152
325,2025-07-30,Processando,317.08,65108249730
326,2026-02-10,Em transporte,192.36,28347596182
327,2025-11-17,Processando,937.48,50796231443
328,2025-05-16,Processando,165.24,60381597466
329,2025-12-03,Processando,203.63,25347019670
330,2025-11-22,Entregue,330.39,76130829540
331,2025-09-08,Entregue,55.34,67824091511
332,2025-09-27,Entregue,142.57,50316842753
333,2025-07-22,Cancelado,369.01,21906457352
334,2025-07-29,Em transporte,201.22,50316842753
335,2025-08-30,Processando,287.34,40678321922
336,2025-11-08,Em transporte,421.59,9723685400
337,2025-11-29,Entregue,354.46,61529473837
338,2025-09-24,Entregue,353.4,19860273502
339,2025-04-27,Cancelado,51.93,91365472043
340,2026-02-15,Entregue,322.46,18649372546
341,2026-01-04,Processando,455.92,81543792014
342,2025-06-09,Em transporte,323.73,39728054114
343,2026-02-18,Em transporte,950.13,30546819206
344,2025-05-20,Processando,488.02,94852631719
345,2026-01-05,Entregue,1.81,52064193898
346,2025-04-13,Cancelado,783.67,96403785265
347,2025-10-19,Processando,363.44,43902187514
348,2025-05-25,Processando,32.82,45912607399
349,2025-06-20,Cancelado,253.13,30475918657
350,2025-11-03,Cancelado,79.43,35617980203
351,2025-12-20,Cancelado,476.92,78095462365
352,2025-04-29,Cancelado,466.5,20679841520
353,2026-01-13,Em transporte,495.05,96847053100
354,2025-09-24,Entregue,298.29,25631847035
355,2025-10-18,Cancelado,271.73,79063452152
356,2025-05-29,Processando,621.73,92370846178
357,2026-01-15,Entregue,426.5,96847053100
358,2025-02-25,Processando,561.14,20479615306
359,2026-01-27,Em transporte,685.85,8625943756
360,2026-01-25,Cancelado,211.06,3714956280
361,2026-02-04,Cancelado,299.31,42038651744
362,2026-02-12,Em transporte,142.02,19645038766
363,2025-10-28,Cancelado,281.83,45912607399
364,2026-02-11,Entregue,515.22,47620381996
365,2025-07-14,Entregue,161.33,2895643105
366,2025-05-22,Entregue,149.45,18276054994
367,2025-05-16,Em transporte,547.12,81563742900
368,2025-03-17,Processando,86.6,97452863119
369,2025-05-09,Em transporte,418.39,69402318704
370,2025-03-15,Processando,620.95,94530628124
371,2025-06-24,Entregue,461.5,12057983668
372,2025-04-09,Processando,286.83,6751983484
373,2025-10-22,Entregue,118.2,81563742900
374,2026-02-15,Entregue,329.92,8962735121
375,2025-08-22,Entregue,149.6,62419503805
376,2025-07-06,Processando,478.2,20479615306
377,2025-05-05,Processando,236.53,62890514315
378,2025-12-10,Em transporte,84.2,62543980105
379,2025-09-23,Entregue,16.99,5187926411
380,2026-01-18,Processando,382.93,80356129489
381,2025-03-12,Entregue,28.76,62543980105
382,2025-03-25,Processando,143.05,23916574809
383,2026-01-06,Entregue,120.8,87495062347
384,2025-12-29,Processando,267.13,36041798584
385,2025-06-09,Entregue,34.02,98374620510
386,2025-08-22,Entregue,225.72,34926158051
387,2025-10-21,Cancelado,455.07,20679841520
388,2025-05-23,Entregue,333.73,8251346762
389,2025-07-09,Em transporte,200.46,36908412750
390,2025-10-30,Cancelado,352.78,59683742092
391,2025-12-27,Processando,441.59,14638270590
392,2025-11-16,Entregue,45.03,43658029765
393,2025-09-01,Entregue,71.97,96025431752
394,2025-12-18,Cancelado,410.14,34879260592
395,2025-03-09,Processando,163.12,21357069812
396,2025-11-01,Processando,239.64,47620381996
397,2025-05-23,Em transporte,21.7,13826947509
398,2025-05-19,Cancelado,725.51,59284063710
399,2026-02-03,Entregue,215.95,93605821405
400,2025-12-03,Cancelado,169.65,15032768480
401,2025-05-12,Entregue,346.86,20679841520
402,2025-10-15,Entregue,429.88,97452863119
403,2025-12-24,Cancelado,139.2,84621739069
404,2025-10-21,Cancelado,37.28,19062584730
405,2025-11-24,Cancelado,450.28,51960473875
406,2025-07-11,Entregue,300.65,64591230805
407,2025-10-24,Em transporte,126.91,42038651744
408,2025-07-27,Entregue,117.19,98704152611
409,2025-12-18,Em transporte,165.48,45912607399
410,2026-01-25,Em transporte,601.66,47521038690
411,2025-12-16,Em transporte,315.49,60239158768
412,2025-08-15,Em transporte,102.0,2187435644
413,2025-10-21,Processando,320.24,43752698047
414,2025-11-11,Processando,560.75,93615824024
415,2025-05-18,Cancelado,341.51,62859347119
416,2026-01-29,Entregue,361.95,2487615958
417,2026-01-20,Cancelado,158.65,80342795104
418,2026-02-07,Entregue,230.67,85620374947
419,2025-03-15,Em transporte,416.36,73698410222
420,2025-06-11,Cancelado,305.52,92703816502
421,2025-06-25,Em transporte,34.88,94803562105
422,2026-02-07,Processando,229.6,39728054114
423,2026-01-01,Entregue,222.3,57140328960
424,2025-10-23,Entregue,214.29,20731658426
425,2026-02-03,Processando,162.37,39851764264
426,2025-08-17,Entregue,386.9,84329175673
427,2025-09-25,Em transporte,56.82,42189076331
428,2025-05-10,Cancelado,323.95,51680943766
429,2025-12-07,Em transporte,91.88,97815064310
430,2025-03-31,Entregue,36.39,37451802914
431,2025-07-11,Em transporte,568.42,25631847035
432,2025-03-29,Entregue,541.61,51387602462
433,2025-12-07,Processando,248.55,92743015616
434,2025-12-22,Cancelado,574.68,83201457914
435,2025-04-01,Entregue,189.72,72950814379
436,2025-07-27,Processando,515.11,91372805460
437,2025-06-09,Processando,357.71,2564789374
438,2025-12-07,Processando,301.75,75026413862
439,2025-10-05,Cancelado,231.85,45096137848
440,2025-08-24,Processando,149.32,81563742900
441,2025-03-11,Cancelado,707.11,40625798392
442,2025-09-20,Processando,194.5,54870213923
443,2025-05-14,Cancelado,249.0,96254071894
444,2025-09-29,Processando,747.25,2487615958
445,2025-05-07,Cancelado,96.97,36041798584
446,2026-01-24,Entregue,768.23,96403785265
447,2025-04-10,Cancelado,440.6,79435621007
448,2025-06-17,Entregue,597.68,91365472043
449,2025-03-06,Entregue,233.75,46723189078
450,2026-02-13,Processando,291.01,57140328960
451,2025-12-12,Em transporte,8.9,13907524888
452,2025-07-15,Entregue,81.75,63081794269
453,2025-10-30,Em transporte,1041.03,13209468796
454,2025-11-04,Em transporte,181.41,16758432017
455,2026-01-22,Processando,520.83,51387602462
456,2026-02-22,Cancelado,764.4,76854209374
457,2025-03-25,Cancelado,710.03,82476915076
458,2025-12-04,Processando,427.71,37451802914
459,2025-07-12,Processando,23.27,97034256829
460,2025-09-09,Cancelado,97.97,93087216496
461,2025-07-15,Entregue,535.28,89623471564
462,2025-07-15,Cancelado,216.57,84239170613
463,2026-02-01,Cancelado,681.62,9536872447
464,2025-12-13,Em transporte,526.85,26493875056
465,2025-08-24,Em transporte,564.41,15687403280
466,2025-08-24,Em transporte,507.8,96201874313
467,2025-06-24,Entregue,447.55,91736082540
468,2025-04-27,Cancelado,250.62,14638270590
469,2026-01-14,Entregue,174.3,25198064351
470,2025-10-21,Em transporte,279.96,87450912341
471,2025-07-29,Processando,158.05,89613470204
472,2025-07-31,Processando,416.98,52631074980
473,2025-10-28,Em transporte,380.34,92503768121
474,2026-01-01,Cancelado,356.93,32061954898
475,2025-11-27,Processando,308.85,86194537264
476,2026-02-23,Em transporte,494.65,94586702338
477,2025-05-14,Entregue,316.53,59634270883
478,2026-01-14,Cancelado,527.14,1635279461
479,2025-04-02,Em transporte,71.0,20679841520
480,2025-11-27,Cancelado,142.03,67824091511
481,2025-03-29,Processando,67.83,96201874313
482,2025-09-03,Em transporte,65.86,93540172661
483,2025-07-13,Entregue,503.61,15687403280
484,2025-07-20,Entregue,499.39,65932704829
485,2025-03-01,Entregue,262.22,73216948013
486,2025-11-18,Entregue,272.84,40678321922
487,2025-08-17,Em transporte,143.16,89613470204
488,2025-03-22,Processando,461.31,63542907170
489,2025-06-30,Em transporte,122.79,69370451234
490,2025-11-06,Em transporte,613.04,64932078196
491,2025-12-16,Em transporte,37.04,23916574809
492,2025-05-16,Processando,598.75,50186749384
493,2025-05-25,Processando,575.39,45673812973
494,2025-09-27,Cancelado,461.88,19062584730
495,2025-03-15,Em transporte,10.13,4319782550
496,2025-11-15,Cancelado,797.85,69215873473
497,2025-10-30,Entregue,169.51,84621739069
498,2025-03-24,Entregue,174.19,97306284169
499,2026-02-11,Entregue,466.16,40632981750
500,2026-01-21,Entregue,231.73,79125064380
501,2025-11-13,Entregue,59.66,30794216803
502,2025-06-14,Cancelado,247.83,98374620510
503,2025-10-25,Cancelado,222.56,51962087476
504,2025-11-28,Cancelado,359.03,85230497114
505,2025-10-29,Processando,284.87,94726083538
506,2025-04-08,Em transporte,380.43,21357069812
507,2025-03-19,Em transporte,26.98,81967405220
508,2025-07-04,Em transporte,739.92,51680943766
509,2025-03-24,Em transporte,280.44,31085926451
510,2025-04-23,Em transporte,213.05,23891054670
511,2025-07-18,Cancelado,190.76,89613470204
512,2025-05-21,Entregue,204.47,97425063883
513,2025-11-05,Em transporte,373.89,28403157690
514,2025-03-15,Entregue,293.43,64287390547
515,2026-01-24,Processando,560.69,54870213923
516,2026-02-23,Em transporte,254.34,19860273502
517,2025-10-30,Cancelado,180.47,42917506849
518,2025-12-04,Processando,180.84,36158240753
519,2026-01-15,Em transporte,499.52,8145369215
520,2025-12-16,Cancelado,282.82,82513076435
521,2025-11-17,Entregue,270.32,34216085717
522,2025-04-13,Em transporte,418.07,8976235177
523,2025-08-26,Cancelado,325.15,91680375466
524,2025-05-14,Processando,437.05,96823457155
525,2025-04-12,Entregue,225.2,93615824024
526,2025-04-22,Cancelado,374.98,57140328960
527,2025-09-29,Entregue,512.29,94687053157
528,2025-09-28,Em transporte,41.19,30794216803
529,2025-03-28,Processando,32.55,15894206324
530,2026-01-21,Cancelado,45.92,45096137848
531,2025-07-28,Cancelado,71.47,51962087476
532,2025-09-20,Em transporte,396.7,83790241504
533,2025-08-26,Cancelado,237.64,67508432126
534,2026-02-02,Entregue,224.54,43752698047
535,2026-02-22,Entregue,109.61,95431028642
536,2025-09-21,Em transporte,243.51,31805249606
537,2025-11-06,Entregue,882.3,42038651744
538,2025-09-07,Em transporte,234.02,89047356292
539,2026-02-10,Processando,51.4,71643958291
540,2025-08-26,Entregue,327.12,31928506470
541,2025-08-02,Processando,581.13,64591230805
542,2025-09-07,Cancelado,153.56,3957814693
543,2025-11-14,Cancelado,137.27,94380725600
544,2025-12-26,Em transporte,164.85,59634270883
545,2025-05-01,Em transporte,135.91,69147205334
546,2025-04-25,Processando,951.79,73602519406
547,2025-05-19,Em transporte,347.84,91680375466
548,2025-12-04,Processando,204.55,74238956109
549,2025-10-13,Em transporte,622.63,51240967306
550,2025-08-22,Entregue,187.23,6981742322
551,2025-05-08,Entregue,150.52,65378490200
552,2025-10-07,Em transporte,462.96,30829164731
553,2025-05-07,Processando,239.08,6938275483
554,2026-01-07,Entregue,14.27,36092857103
555,2025-09-27,Em transporte,813.25,19860273502
556,2025-07-05,Cancelado,570.0,5724381923
557,2025-03-20,Em transporte,594.12,30546819206
558,2025-03-26,Processando,577.56,36820951442
559,2025-09-29,Processando,329.31,79063452152
560,2025-04-27,Entregue,75.77,52864139006
561,2025-10-19,Entregue,282.0,51680943766
562,2025-11-10,Cancelado,125.68,6584137910
563,2025-12-26,Cancelado,97.36,94803562105
564,2025-10-31,Entregue,461.75,96847053100
565,2025-04-25,Entregue,916.34,90457268310
566,2026-02-10,Processando,425.97,91736082540
567,2025-12-19,Em transporte,407.52,58941762049
568,2025-07-03,Entregue,473.62,31805249606
569,2025-04-13,Processando,712.88,20567893456
570,2025-07-06,Em transporte,509.37,40753891204
571,2025-11-02,Cancelado,173.21,68275301912
572,2026-02-04,Em transporte,419.87,29317645828
573,2025-06-24,Processando,671.24,75821439655
574,2025-12-24,Cancelado,206.85,7643182507
575,2025-11-22,Em transporte,687.34,42609835710
576,2025-03-11,Processando,87.2,61374902896
577,2025-05-06,Entregue,105.21,84329175673
578,2025-07-07,Cancelado,427.13,31805249606
579,2025-04-04,Entregue,294.03,27106935425
580,2025-11-15,Em transporte,558.18,58704693256
581,2025-10-28,Entregue,418.65,73289546128
582,2025-12-31,Processando,205.27,73650198401
583,2025-12-03,Cancelado,9.59,64051937801
584,2025-09-19,Entregue,115.1,31427906599
585,2025-05-26,Em transporte,393.46,19658037410
586,2025-06-28,Cancelado,655.42,30128496703
587,2025-09-30,Em transporte,279.71,31427906599
588,2025-10-21,Cancelado,318.02,49163208598
589,2025-06-30,Processando,333.94,67431529864
590,2025-03-23,Cancelado,1161.96,60835917401
591,2025-12-27,Processando,350.12,86075234900
592,2025-10-01,Cancelado,265.31,12760954811
593,2025-04-07,Em transporte,159.23,74198205620
594,2025-12-27,Processando,383.21,32706549874
595,2025-11-08,Cancelado,436.5,16079245361
596,2025-07-08,Processando,325.02,30546819206
597,2025-05-18,Processando,347.74,63075194280
598,2025-06-19,Cancelado,779.93,7216489594
